name;state;country
Bariloche;Rio Negro;Argentina
Cafayate;Salta;Argentina
San Carlos;Salta;Argentina
Ciudad Autonoma de Buenos Aires;Buenos Aires;Argentina
San Antonio de Areco;Buenos Aires;Argentina
San Telmo;Buenos Aires;Argentina
Lobos;Buenos Aires;Argentina
San Rafael;Mendoza;Argentina
Malargue;Mendoza;Argentina
Rio Cuarto;Cordoba;Argentina
Salicas - San Blas;La Rioja;Argentina
Carhué;Buenos Aires;Argentina
Colonia San Miguel Arcángel;Buenos Aires;Argentina
Adolfo Gonzalez Chavez;Buenos Aires;Argentina
